,address,amount,percentOfTotal
181,9eyuEJWTqvv7SEBRKz2a8pN7Tktcwi2tQdm2LoFpJQVkxXiTA7r,33120,0.003312
182,9hH49UfhTdhyRpyfeK6knJUx79fqNKeYS3Y5xy9LrB421zzYAX7,32187,0.0032187
183,9hDciz7Jm5ZGy3HZQbDfC8GTQ9KXrYhoToPr3vrjWfosnwF4qFB,31000,0.0031
184,9hTdw6PFfzxY7Zuemm5ga3CCSKTLC6ByiFFWoTq5qGVf7c4SRCX,30232,0.0030232
185,9fHJX6CrsQmZSQvksCP2mpmUPMSZhwkvoTjw6pmr6KsqXvdKXzv,30000,0.003
186,9fNNw4JXxzfVsfAvaeJU8JS3w9zMacTMshy3fwDTJM4vKickqcm,30000,0.003
187,9hpHCEDaCwKh3r6TUENHmwiohWmPWSnk26a9FGFoEewobi5xkxZ,29990,0.002999
188,9hgDRcdGMaWBrDVz7jxrci1EUPUQTFpRx5sFnTv3zDfkSsHqTka,29000,0.0029
189,9iFVPo46yXhmVV9nNRjaU6EXrTFDVB66izvAQ8G1hp28dUvm3ab,28000,0.0028
190,9hRxg3wCJPtsKgo6MwsSsFJMGNvYjkRGM9vx92pbd14q3mzUmZK,26017,0.0026017
191,9gP4xjNS2sJDJ8hggLKQSXSHiAa6g1Fu9hS2WTzitigxrqUbfZX,26000,0.0026
192,9h3dCuaU9BkyriZi2EG4xDagckZ1vGiT8xpXwdvvGtWkH9FnhgZ,26000,0.0026
193,9hEgcrofpDSTpSmbEBLFe5o4wcFTerQ3XvwwoskJP36nSZzopjE,25000,0.0025
194,9f33pTMVxSAcCgf2jSckWrggX5i1sBpEasNPZtSQgFru1CSGxo8,25000,0.0025
195,9gizspfsWFNN7BHZhopXmUt8Y7j7bEBobWHX5M9uHBXkqfDABsm,25000,0.0025
196,9ho3quMB1Vs6ejycB4t3tNw5oTkiu2ZSGT9VfBFshxb21baT3ex,24800,0.00248
197,9g7BvXjvwakomhtgzkywtqqd9SX3n6NnB5D8QC7oKCA6tKJHxJX,23000,0.0023
198,9gtVes3xP6KizdaKw1NgAXs7UWZ78rzjeU475cSmoEe1hAQaYae,23000,0.0023
199,9gYC8koYUDSieWK9rmH9UVwJoeDhsQ4DRFTgsYX9pcUMyiKsc8J,23000,0.0023
200,9esjmVwNEHujuYQ2kkP9nT6KnQ55ajErounf1coXyXXyvzEfdjz,22491,0.0022491
201,9hSmhGbJo8wtw5X1S3b4sRSQtmAHcRCoVdnPgH3tRjN8TVhsQkU,22000,0.0022
202,9gn1WFi397x6BDqg56WabZWSNJ5yydAGkotfpVeTPbwWiqAjauY,22000,0.0022
203,9hb4ZxKNT4DPNmPbmXdPPa3N5g2FyzBnUv1eCNRiCDpByAu8hUe,21761,0.0021761
204,9gDekeor1mkhaRTL2rmoTDdAxUnzZ2pvWq8fNKawW5yeHKuQefa,21119,0.0021119
