,address,amount,percentOfTotal
128,9gn2R8DtodgKTfUq5Q7wDdEQe6GtgLtF3XYR7gCZedD8FpXgzpV,414,0.0828
129,9i6ESWiiede6kUJ3HuimzVV4J4vBZFXTdatPmC9HoYuyEZwZJeW,390,0.078
130,9hmMsNAMYGjnRufmt9gVZi8jKQUjTLdJHXRGcnwLto9v57ss6cX,379,0.0758
131,9hf6mw7SCTogH4jYkmgaguxuYDZMMZysTUrVwuPpNJi6Ap9oUK8,358,0.0716
132,9hSRLhMHJtEYKyewmnQPVY4FVLWLWE3bBREUX1iveekudb8HjXt,356,0.0712
133,9gDekeor1mkhaRTL2rmoTDdAxUnzZ2pvWq8fNKawW5yeHKuQefa,354,0.0708
134,9hMJW8JQaTLMnUzmUbLmXvRxyappTiY2tNnPwQddJ7dvifQhfda,323,0.0646
135,9ftMy3VoBHRmTKdXenRkRW9PZHVJPngfT7z8FRRi6yPNCjRg4x3,320,0.064
136,9g5nbngqRnRQU4vZW2eJsbNA2q17UUk47CwZ9hZQz2pPFQd54j8,301,0.0602
137,9g7fAbNvKsTUoQHx6CunQ3LhUmFuXwU8vZSU7qKMe94v9UZ2foi,299,0.0598
138,9fietBccjHwLwKLS9W11E6AvmVZnNi84pBHxT1z9Fr9x1KkyBJh,296,0.0592
139,9g9nT2aa7NigUgDYG1ekYk3V7Lu77aQSTqpWHVrPBdVSSzAMGrY,282,0.0564
140,9ebYkvFcUSE2N81uvJ1dfbfh4P1tiWnFCGpYybNxSxQ4RXrfNQt,274,0.0548
141,9ev1n5nPG3VJpS1nMUFgxmmdGYQLVpPLXT3FH21iUp8zDsefMrt,270,0.054
142,9iPGN6nnjGXxAhA8k2BsLrefSJc3uP6pHesWC7ov3Ge9Zsmd9fY,269,0.0538
143,9ehEdSxGoSX7jRszYtU1Rse5cxePz3u4ZtqKmymN8KA6J5ZLYzh,256,0.0512
144,9hx3HoWVZ9ErUWmFAFi7XYTie6uUMWWwULuGVFdJFqNNf9CdRcB,256,0.0512
145,9f4C2omUrvEhxcVFmojQCjNgUPo93VYsoWcYRgbP4wb5ihyAakn,253,0.0506
146,9eeYkvUWcZiE1rwbMXDtmRHfA5Voov7kB3xMKLVw96UvedgpZpN,250,0.05
147,9fNQj6EUMdj6KTThySLfWkS7YA8vYiNMHHygEqA8tUvyjeWDw6m,250,0.05
148,9h21vmQ3ifKGyNUXsGphFTHXQhEdHALvxNsns6U78HpN8PBdzTn,250,0.05
149,9hjRYqLdPB3UQbZLxcBoTs8nuMPUs4KLgAfSzgMFvMa8p1wcp1b,248,0.0496
150,9g9LnkM2DnHtw9V8pJNWYNdTBpXNM5pDTgdUTqWYSZ8eakXjf5i,244,0.0488
151,9hx8as7kJvUBuaSGHgdZZfHzF7yjwJ6wGyBM3dGJRkRvDUWTVyU,244,0.0488
152,9hPQeGyMd9AMJ6mirdX59m3GRtguUNYatQXiaoHwaVSixojSfG5,239,0.0478
153,9gZqU4pW5PuwfDansPZbKUvVB3PURBqyV1LNWuUeVoWC8HDNHKw,234,0.0468
154,9hZ6KmSTi9bES62GgHMi9L7WBW2X3Wee2yur7BbNUB1FRZpVZdQ,225,0.045
155,9f3ytGv6vc9GNtpcbP1ckRnjRUhbd3UebhXRKU1Gvq9eHbEAL3k,222,0.0444
156,9hJEkRCLCZYigzcobGTHRGaXg7HtJoYbN41U9saM8MynCJowAAH,221,0.0442
157,9fuueiTcWcqJ7jEZVGwkxZZjbWk6rNSmm6bWayWW9NZnE5jyoVe,219,0.0438
158,9h9MgsTFVtce9jV3UKTXxy9Zr7q8XNqZDZFsR3HF1jZu8GLDugx,216,0.0432
159,9gxPr6WBcdG9YEQ2TkvpK1L9vWBRNCPduNrhdUiL5NstoaZVjVb,208,0.0416
160,9hrnR5BJ535Tdaa5o2F6t2x8CuTtAZwpevGyzPun7m3tVLLJfyx,207,0.0414
161,9ecA5NzAJuH2hYMn8aginQHg6T4uumwaoyp2ub2W12PqDhL9tvG,202,0.0404
162,9hdSPgFRmh4U95viQkjS6iXkQEKUoRufUuQUxAZZBWPSWFttxjG,201,0.0402
163,9gMq3s58JQmUPjxL3FLiMuGCDKM7jZvWTCCeHX9EL4Fbn9wzyeM,201,0.0402
164,9fzLSXDt1ntaBKBvD6rqhFDDRKiCkc8Kfs5fZzGRfCcHXhLZRyW,201,0.0402
165,9gpadT6GskgmMBxq5Z6XrqScfxxnmKnQCEcFnzydEo9dLX5RMan,201,0.0402
166,9gHoC6a4LY5EZzwFtL7EMoHsrHRV7Yc5CUfGUtiUM7GM3PcBtUy,200,0.04
167,9hRGat3VNbDxKgjBVSNTRSdmVpWRcURdGfWES5sT6aVgJmfB7Wu,200,0.04
168,9fiHzJDj3z8hWh8nNXyUvLJ43cSA51NZ8QJj58K8BpXH7chdtLw,200,0.04
169,9iKcXjjWUbbVnbGR5cC5ehRnmJJnfRAUmH5qeHiU9p35phs63eL,197,0.0394
170,9erJd9zioBduyq29qvS2DYY4or8GQZzRaDYaeto8CzVtdn1Mju1,191,0.0382
171,9efe19Gtv6cPtZZvYBjqqvURyLKnPomAzbUBYmsY4Z4sSXYyzMa,183,0.0366
172,9gjJmBuQMs9zwJ9DpDkKaGFCVcaHJy7HR7YadZDvyQU9gEBUPNZ,182,0.0364
173,9f7mpnBpCS1qR8Bau9K1UqCDnPS6o48Y9Wtv3u8MqhtZRsqem1W,180,0.036
174,9fRcdpopbpLqJCmLfbAB9Dg3t5YLGfFhYJSB8Bfix7ddchXFMFa,173,0.0346
175,9hJQwUPq5d6jTzfxfqyNUuLyJCb7pXJaCotPCL1isP5M68UztHh,169,0.0338
176,9h8ngq5fsr9mPgxJBYdm5pGuL5SdZQY1r4fov9pGkdJTM76M4i1,169,0.0338
177,9hJfCrp6eD7PmnV34pKyCQM1Ccp4ofD6foeg2MxnDSsPRGHJEdL,163,0.0326
178,9gG4A6oe59Skou6JhD9J7LSNvUsbezjsk3qDErTvitittdoPHf6,158,0.0316
179,9hjxyrYaKtBu1TA31BMaXFiWDXVeMr5XLDWHPYnaJJQBNscTEYq,158,0.0316
180,9hRdJeU2VeTgrM85bAG3ifK2ENqEHe5xU3T3rKjTjvVDVjXwqKV,155,0.031
181,9epJ5mfyNpkkjLHo1iZuB1tm6NTuaFXatoicUsWbQ1Pf4r6eA9y,154,0.0308
182,9hrZgQjmVqkMDfFnMQkGrGAK9KXSFybK9xsqncgke3oskYvgstT,152,0.0304
183,9ef4W3naeKVk52zTG2LN1AWkiu2CVkWt2VweBzhxz5z4wPSh6VE,150,0.03
184,9iBtfBnkwVSUwNowgDSAdb5xTaaJS9nbCQWqCTbCjzxJakWmwFe,150,0.03
185,9hQMqrwAuKaPzo4bc1VQEfyxtsUVaCgdLydiUWrBxxtVwXULNbW,144,0.0288
186,9fxZmZjaAHzBaUSYB678DNZLrFRGuQrLiueSiTwHx9i2X9n5eVZ,142,0.0284
187,9gqKR36KAz7wPjcMXTgheKBhYc1yc2PNFB2c7yyTdfGn1QECLWk,139,0.0278
188,9gRnFdQA9sJPQzW4RWyycGpeqnFCgEVvHNnS3X2dnKppABoyZAF,139,0.0278
189,9gH5vGpKAdkEnDp4Jh1wYJzpDVsa9bYPeq6mDLFnKL5CbNRsAgm,132,0.0264
190,9erh6tQ6Pop2j71Wt9wPVbhny1Ncow9pUnS44JSQt1nJACyuyYT,131,0.0262
